Category,Product Name,Price,Rating,Reviews,Product Link,Page Number
Electronics,"OTEK Epic FHD Projector (Non-Smart, No WiFi), Native 1080P, 6000 Lumens, 4K Support, Bluetooth 5.3, Dual HDMI & USB, 210” Display, Best Office & Classroom Projector",8999,3.4 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTc5MTk5NDU3NDgzMDkxOjE3Nzg2NTQ2MzA6c3BfYXRmX2Jyb3dzZTozMDA4OTI1MjY5ODY2MzI6OjA6Og&url=%2FOTEK-Projector-Support-Bluetooth-Classroom%2Fdp%2FB0DPHB2D1B%2Fref%3Dsr_1_25_sspa%3Fdib%3DeyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk%26dib_tag%3Dse%26qid%3D1778654630%26s%3Delectronics%26aref%3Df3oKKDy1t1%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1&aref=f3oKKDy1t1&sp_cr=ZAZ,2
Electronics,"E Gate Atom 4X Air, Fully Automatic, True 200 ANSI Projector with 1080P & 4K Support | Auto Focus+Auto Keystone+Obstacle Avoid | Android 12 Netflix, Prime, Live TV | WiFi-BT-HDMI ARC, Native EGATE",6650,4.2 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTc5MTk5NDU3NDgzMDkxOjE3Nzg2NTQ2MzA6c3BfYXRmX2Jyb3dzZTozMDEwODAzMjE0NDI0MzI6OjA6Og&url=%2FComplete-Projector-Keystone-Obstacle-WiFi-BT-HDMI%2Fdp%2FB0CH9WVKDX%2Fref%3Dsr_1_26_sspa%3Fdib%3DeyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk%26dib_tag%3Dse%26qid%3D1778654630%26s%3Delectronics%26aref%3DeJTz3cqaFw%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1&aref=eJTz3cqaFw&sp_cr=ZAZ,2
Electronics,"WZATCO Yuva Go Pro Fully Automatic Native 1080P Android 13.0 Smart Projector, Auto Focus, Auto 4D Keystone, 12000 Lumens, 4K HDR Support, Rotatable Design, WiFi 6 & BT, Screen Mirroring, ARC",10990,4.4 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTc5MTk5NDU3NDgzMDkxOjE3Nzg2NTQ2MzA6c3BfYXRmX2Jyb3dzZTozMDA5MDg4Mzg0OTMxMzI6OjA6Og&url=%2FWZATCO-Yuva-Go-Pro-Automatic%2Fdp%2FB0DRJB9417%2Fref%3Dsr_1_27_sspa%3Fdib%3DeyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk%26dib_tag%3Dse%26qid%3D1778654630%26s%3Delectronics%26aref%3DEj41C3sOmw%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1&aref=Ej41C3sOmw&sp_cr=ZAZ,2
Electronics,"Samsung Galaxy M07 Mobile (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | AnTuTu 624K | IP54| 50MP Camera | 7.6mm Slim | 5000mAh Battery | 25W Fast Charging | 6 Gen OS Upgrades | Without Charger",9499,4.2 out of 5 stars,,https://www.amazon.in/Samsung-Storage-MediaTek-Charging-Upgrades/dp/B0FN7QTRPY/ref=sr_1_28?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"Lava Bold 2 5G (Midnight Black, 6 GB RAM, 128 GB Storage) | 6.67"" FHD+ AMOLED Display | MTK D7060 Processor | 50 MP Front Camera | LPDDR5 UFS 3.1 ROM | 5000 mAh | 33W Fast Charging",13999,4.0 out of 5 stars,,https://www.amazon.in/Lava-Midnight-Storage-Processor-Charging/dp/B0GMJCN3S9/ref=sr_1_29?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"vivo T5x 5G (Cyber Green, 6GB RAM, 128GB Storage) | 50MP AI Dual Camera | 32MP Selfie | 6.76"" FHD+ Display | 7200mAh Battery | Dimensity 7400-Turbo Processor | Fast Charging | Dual SIM Smartphone",21949,4.1 out of 5 stars,,https://www.amazon.in/vivo-Dimensity-7400-Turbo-Processor-Smartphone/dp/B0GTTXP6WF/ref=sr_1_30?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"realme narzo 100 Lite 5G (Frost Silver,4GB+64GB) | 7000mAh Titan Battery | 4 Years, Zero Lag | 144 Hz Ultra Smooth Display | 6 nm Octa-core 5G Chipset | Color Pop Design | VC Cooling",13498,4.5 out of 5 stars,,https://www.amazon.in/realme-7000mAh-Battery-Display-Octa-core/dp/B0GTRXVQ8N/ref=sr_1_31?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,Original Universal Air Conditioner Remote Compatible for LG Split AC Remote Control AC-36I.,284.05,4.4 out of 5 stars,,https://www.amazon.in/Original-Universal-Conditioner-Compatible-Control/dp/B0GSRDVJHX/ref=sr_1_32?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"POP X (Flare White, 4GB+64GB) | 120Hz 6.74"" Smooth Display| IP64 Protection & Drop Resistant | No Network Communication* | AI Active Noise Cancellation | AI Song Identification |AI Flash Snap| 5000mAh",9499,4.2 out of 5 stars,,https://www.amazon.in/Protection-Resistant-Communication-Cancellation-Identification/dp/B0GLZMSN46/ref=sr_1_33?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"Lava Bold N1 5G (Champagne Gold, 6GB RAM, 128GB Storage) |Bigger 6.75"" HD+ Notch Display | Octacore 5G Processor | 13 MP AI Camera |5000 mAh Battery| IP54 Rated Dust & Water Splash Proof",12249,3.0 out of 5 stars,,https://www.amazon.in/Lava-Bold-N1-5G-Champagne/dp/B0GWDDKGNP/ref=sr_1_34?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
